t,target,theta,err,tau
1.549999999999989,0.7853981633974483,0.7091055640129429,0.07696908700968752,1.0474157714635413
1.5549999999999888,0.7853981633974483,0.7095676280827792,0.07629259938450539,1.0632104757457292
1.5599999999999887,0.7853981633974483,0.7098174054559967,0.0758305353146691,1.0820103413396844
1.5649999999999886,0.7853981633974483,0.7098574005444243,0.07558075794145158,1.1037380843356677
1.5699999999999885,0.7853981633974483,0.7096904754281043,0.07554076285302402,1.1283120321840485
1.5749999999999884,0.7853981633974483,0.7093198394818615,0.07570768796934402,1.1556463334985538
1.5799999999999883,0.7853981633974483,0.7087490385377183,0.07607832391558678,1.1856511722829268
1.5849999999999882,0.7853981633974483,0.7079819436077109,0.07664912485972997,1.2182329861931351
1.589999999999988,0.7853981633974483,0.7070227391918137,0.07741621978973734,1.2532946884469411
1.594999999999988,0.7853981633974483,0.7058759111958116,0.07837542420563459,1.2907358929921946
1.5999999999999879,0.7853981633974483,0.7045462344840915,0.07952225220163667,1.3304531425447965
1.6049999999999878,0.7853981633974483,0.703038760092432,0.0808519289133568,1.3723401391067638
1.6099999999999877,0.7853981633974483,0.701358802125982,0.08235940330501623,1.41628797657438
1.6149999999999876,0.7853981633974483,0.6995119243677104,0.08403936127146627,1.4621853750459937
1.6199999999999875,0.7853981633974483,0.697503926622698,0.08588623902973791,1.5099189164386668
1.6249999999999873,0.7853981633974483,0.6953408308237201,0.08789423677475028,1.5593732810227379
1.6299999999999872,0.7853981633974483,0.6930288669236329,0.09005733257372817,1.6104314844832754
1.6349999999999871,0.7853981633974483,0.6905744586001362,0.09236929647381542,1.6629751151176966
1.639999999999987,0.7853981633974483,0.6879842087985251,0.09482370479731206,1.7168845707792746
1.644999999999987,0.7853981633974483,0.6852648851380727,0.09741395459892321,1.7720392951771817
1.6499999999999868,0.7853981633974483,0.6824234052077018,0.10013327825937557,1.8283180131449137
1.6549999999999867,0.7853981633974483,0.6794668217765945,0.10297475818974644,1.8855989644907
1.6599999999999866,0.7853981633974483,0.6764023079453666,0.10593134162085382,1.9437601360456984
1.6649999999999865,0.7853981633974483,0.6732371422633877,0.10899585545208168,2.0026794915285677
1.6699999999999864,0.7853981633974483,0.669978693837751,0.11216102113406057,2.0622351988483776
1.6749999999999863,0.7853981633974483,0.666634407459304,0.11541946955969729,2.122305854471871
1.6799999999999862,0.7853981633974483,0.6632117887710197,0.11876375593814426,2.1827707044858045
1.684999999999986,0.7853981633974483,0.6597183895038279,0.12218637462642856,2.2435098619905465
1.689999999999986,0.7853981633974483,0.6561617928048337,0.1256797738936204,2.3044045204673256
1.6949999999999859,0.7853981633974483,0.6525495986826191,0.1292363705926146,2.3653371627685242
1.6999999999999857,0.7853981633974483,0.6488894095940553,0.1328485647148292,2.426191765388186
